Date,Company Name,Total News (per day),Average Positive Score,Average Negative Score,Average Neutral Score
2019-03-06,"Tesla, Inc.",1,0.042,0.911,0.047
2019-03-07,"Tesla, Inc.",2,0.201,0.7989999999999999,0.0
2019-03-08,"Netflix, Inc.",1,0.085,0.915,0.0
2019-03-11,"Tesla, Inc.",2,0.0,1.0,0.0
2019-03-12,Google LLC,1,0.159,0.795,0.046
2019-03-13,Google LLC,1,0.176,0.824,0.0
2019-03-14,"Netflix, Inc.",3,0.083,0.7676666666666666,0.14933333333333335
2019-03-15,"Tesla, Inc.",4,0.09675,0.8275000000000001,0.0755
2019-03-16,Google LLC,2,0.053000000000000005,0.873,0.074
2019-03-17,"Tesla, Inc.",1,0.053,0.912,0.034
2019-03-18,"Tesla, Inc.",2,0.145,0.8305,0.0245
2019-03-19,Google LLC,4,0.13425,0.82175,0.04375
2019-03-20,Google LLC,2,0.081,0.919,0.0
2019-03-21,"Tesla, Inc.",2,0.0295,0.8985,0.07200000000000001
2019-03-22,"Netflix, Inc.",1,0.135,0.865,0.0
2019-03-23,Google LLC,4,0.145,0.84375,0.01125
2019-03-24,"Netflix, Inc.",1,0.106,0.819,0.075
2019-03-25,"Tesla, Inc.",3,0.12033333333333333,0.8596666666666666,0.02
2019-03-27,"Tesla, Inc.",4,0.011,0.9195,0.0695
2019-03-28,Google LLC,3,0.11266666666666665,0.8873333333333333,0.0
2019-03-29,Google LLC,5,0.08659999999999998,0.8321999999999999,0.0814
2019-03-30,"Tesla, Inc.",1,0.053,0.887,0.06
2019-03-31,Google LLC,1,0.06,0.94,0.0
2019-04-01,Google LLC,6,0.12933333333333333,0.8266666666666667,0.04416666666666667
2019-04-02,"Tesla, Inc.",1,0.0,0.734,0.266
2019-04-03,Google LLC,2,0.0295,0.9265,0.044
